sales_date ,Qty,item_name 
01-01-2023,1017,BLADE GILTE  MAC-3 8 CRT TURBO
01-02-2023,180,BLADE GILTE  MAC-3 8 CRT TURBO
01-03-2023,37,BLADE GILTE  MAC-3 8 CRT TURBO
01-04-2023,105,BLADE GILTE  MAC-3 8 CRT TURBO
01-05-2023,46,BLADE GILTE  MAC-3 8 CRT TURBO
01-06-2023,105,BLADE GILTE  MAC-3 8 CRT TURBO
01-07-2023,69,BLADE GILTE  MAC-3 8 CRT TURBO
01-08-2023,33,BLADE GILTE  MAC-3 8 CRT TURBO
01-09-2023,8,BLADE GILTE  MAC-3 8 CRT TURBO
01-10-2023,71,BLADE GILTE  MAC-3 8 CRT TURBO
01-11-2023,82,BLADE GILTE  MAC-3 8 CRT TURBO
01-12-2023,62,BLADE GILTE  MAC-3 8 CRT TURBO
