,State,District,Tehsil,Pincode,Village,Status,SD Code,SD Name,SD_latitude,SD_longitude
0,Punjab,Amritsar,Baba Bakala,143116,Lola,Vacant,100370,ATWAL MAHAVITRAK,31.62982,75.07548
1,Punjab,Amritsar,Baba Bakala,143119,Bagga,Vacant,100370,ATWAL MAHAVITRAK,31.72087,75.17629
2,Punjab,Amritsar,Baba Bakala,143204,Jodhe,Vacant,100370,ATWAL MAHAVITRAK,31.56202,75.34975
3,Punjab,Amritsar,Baba Bakala,143149,Tangra,Vacant,100370,ATWAL MAHAVITRAK,31.5583,75.12535
4,Punjab,Amritsar,Baba Bakala,143111,Muchal,Vacant,100370,ATWAL MAHAVITRAK,31.56885,75.14286
5,Punjab,Amritsar,Baba Bakala,143114,Mehta,Vacant,100370,ATWAL MAHAVITRAK,31.66526,75.25115
6,Punjab,Amritsar,Baba Bakala,143112,Uppal,Vacant,100370,ATWAL MAHAVITRAK,31.53941,75.23207
7,Punjab,Amritsar,Baba Bakala,143112,Rayya,Vacant,100370,ATWAL MAHAVITRAK,31.53941,75.23207
8,Punjab,Amritsar,Baba Bakala,143201,Beas,Vacant,100370,ATWAL MAHAVITRAK,31.52602,75.27676
9,Punjab,Amritsar,Baba Bakala,143202,Lakhuwal,Vacant,100370,ATWAL MAHAVITRAK,31.55807,75.29445
10,Punjab,Amritsar,Baba Bakala,143203,Butala,Vacant,100370,ATWAL MAHAVITRAK,31.60817,75.32292
11,Punjab,Amritsar,Baba Bakala,143205,Sathiala,Vacant,100370,ATWAL MAHAVITRAK,31.5851,75.29818
12,Punjab,Amritsar,Baba Bakala,143205,Dhardeo,Vacant,100370,ATWAL MAHAVITRAK,31.61887,75.274
13,Punjab,Amritsar,Baba Bakala,143504,Dhade,Vacant,100370,ATWAL MAHAVITRAK,31.55613,75.26538
14,Punjab,Gurdaspur,Dera Baba Nanak,143513,Siray,Vacant,100370,ATWAL MAHAVITRAK,32.02739,75.02281
15,Punjab,Gurdaspur,Dera Baba Nanak,143605,Shikar,Vacant,100370,ATWAL MAHAVITRAK,31.97472,75.10231
16,Punjab,Gurdaspur,Dera Baba Nanak,143604,Pakiwan,Vacant,100370,ATWAL MAHAVITRAK,32.02739,75.02281
17,Punjab,Gurdaspur,Dera Baba Nanak,143602,Man,Vacant,100370,ATWAL MAHAVITRAK,32.01646,75.09768
18,Punjab,Gurdaspur,Dera Baba Nanak,143512,Fattupur,Vacant,100370,ATWAL MAHAVITRAK,31.98901,75.12324
19,Punjab,Gurdaspur,Dera Baba Nanak,143511,Dalam,Vacant,100370,ATWAL MAHAVITRAK,32.01847,74.99304
