,State,District,Tehsil,Pincode,Village,Status,SD Code,SD Name,SD_latitude,SD_longitude
0,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,140602,Urdan,Vacant,100095,B R HEALTH PRODUCTS,30.68113,76.40983
1,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,147104,Tohra,Vacant,100095,B R HEALTH PRODUCTS,30.58133,75.62097
2,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,140402,Pola,Vacant,100095,B R HEALTH PRODUCTS,30.68113,76.40983
3,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,140407,Fatehgarh Sahib,Vacant,100095,B R HEALTH PRODUCTS,30.65115,76.39217
4,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,147301,Kumbh,Vacant,100095,B R HEALTH PRODUCTS,30.66036,76.29736
5,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,140408,Chunni Kalan,Vacant,100095,B R HEALTH PRODUCTS,30.55152,76.384
6,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,140406,Khera,Vacant,100095,B R HEALTH PRODUCTS,30.5818,76.46851
7,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,140405,Jallah,Vacant,100095,B R HEALTH PRODUCTS,30.57109,76.30891
8,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,140412,Nogawan,Vacant,100095,B R HEALTH PRODUCTS,30.68113,76.40983
9,Punjab,Fatehgarh Sahib,Khamanon,140112,Katlaur,Vacant,100095,B R HEALTH PRODUCTS,30.64216,76.37668
10,Punjab,Fatehgarh Sahib,Khamanon,141801,Chari,Vacant,100095,B R HEALTH PRODUCTS,30.78108,76.30153
11,Punjab,Fatehgarh Sahib,Khamanon,140102,Lutheri,Vacant,100095,B R HEALTH PRODUCTS,30.8168,76.41172
12,Punjab,Fatehgarh Sahib,Khamanon,140102,Dumna,Vacant,100095,B R HEALTH PRODUCTS,30.80982,76.45038
13,Punjab,Fatehgarh Sahib,Khamanon,141411,Bhari,Vacant,100095,B R HEALTH PRODUCTS,30.74413,76.30299
14,Punjab,Fatehgarh Sahib,Khamanon,140101,Morinda,Vacant,100095,B R HEALTH PRODUCTS,30.78752,76.43536
15,Punjab,Fatehgarh Sahib,Khamanon,140101,Saheri,Vacant,100095,B R HEALTH PRODUCTS,30.79505,76.48472
16,Punjab,Fatehgarh Sahib,Khamanon,141127,Borra,Vacant,100095,B R HEALTH PRODUCTS,30.81489,76.3437
17,Punjab,Fatehgarh Sahib,Khamanon,140802,Khant,Vacant,100095,B R HEALTH PRODUCTS,30.78775,76.42588
18,Punjab,Patiala,Patran,148033,Dehla,Vacant,100095,B R HEALTH PRODUCTS,29.83065,75.90671
19,Punjab,Patiala,Patran,148033,Moonak,Vacant,100095,B R HEALTH PRODUCTS,29.83065,75.90671
20,Punjab,Patiala,Patran,147105,Nial,Vacant,100095,B R HEALTH PRODUCTS,29.95587,76.05223
21,Punjab,Patiala,Patran,147102,Dedna,Vacant,100095,B R HEALTH PRODUCTS,30.13724,76.20019
22,Punjab,Patiala,Patran,147102,Ghagga,Vacant,100095,B R HEALTH PRODUCTS,29.95244,76.05489
23,Punjab,Patiala,Samana,147001,Patiala City,Vacant,100095,B R HEALTH PRODUCTS,30.30009,76.32952
24,Punjab,Patiala,Samana,147001,Law Court,Vacant,100095,B R HEALTH PRODUCTS,30.30009,76.32952
25,Punjab,Patiala,Samana,147001,Patiala,Vacant,100095,B R HEALTH PRODUCTS,30.30009,76.32952
26,Punjab,Patiala,Samana,147101,Rajla,Vacant,100095,B R HEALTH PRODUCTS,30.13214,76.25369
27,Punjab,Patiala,Samana,147101,Samana,Vacant,100095,B R HEALTH PRODUCTS,30.1527,76.19594
28,Punjab,Patiala,Samana,147102,Dedna,Vacant,100095,B R HEALTH PRODUCTS,30.01365,76.17289
29,Punjab,Patiala,Samana,147102,Ghagga,Vacant,100095,B R HEALTH PRODUCTS,30.01365,76.17289
30,Punjab,Rupnagar,Chamkaur Sahib,140111,Jatana,Vacant,100095,B R HEALTH PRODUCTS,30.9064,76.3884
31,Punjab,Rupnagar,Chamkaur Sahib,140112,Katlaur,Vacant,100095,B R HEALTH PRODUCTS,30.88716,76.37532
32,Punjab,Rupnagar,Chamkaur Sahib,140102,Lutheri ,Vacant,100095,B R HEALTH PRODUCTS,30.83631,76.4322
33,Punjab,Rupnagar,Chamkaur Sahib,140102,Dumna,Vacant,100095,B R HEALTH PRODUCTS,30.80982,76.45038
34,Punjab,Rupnagar,Chamkaur Sahib,144533,Rel ,Vacant,100095,B R HEALTH PRODUCTS,30.89404,76.41047
35,Punjab,Rupnagar,Chamkaur Sahib,144533,Asron,Vacant,100095,B R HEALTH PRODUCTS,30.89404,76.41047
36,Punjab,Rupnagar,Chamkaur Sahib,140108,Purkhali ,Vacant,100095,B R HEALTH PRODUCTS,30.91853,76.61006
37,Punjab,Rupnagar,Chamkaur Sahib,140108,Mian Pur,Vacant,100095,B R HEALTH PRODUCTS,30.89404,76.41047
38,Punjab,Rupnagar,Chamkaur Sahib,140101,Morinda ,Vacant,100095,B R HEALTH PRODUCTS,30.79417,76.49845
39,Punjab,Rupnagar,Chamkaur Sahib,140101,Saheri,Vacant,100095,B R HEALTH PRODUCTS,30.79505,76.48472
40,Punjab,S.A.S. Nagar,Kharar,134102,Mallah,Vacant,100095,B R HEALTH PRODUCTS,30.61976,76.69188
41,Punjab,S.A.S. Nagar,Kharar,140301,Tewar,Vacant,100095,B R HEALTH PRODUCTS,38.89037,-77.03196
