,State,District,Tehsil,Pincode,Village,Status,SD Code,SD Name,SD_latitude,SD_longitude
0,Punjab,Ludhiana,Jagraon,142024,Birk,Vacant,100361,CHARAK ENTERPRISES,30.80243,75.46728
1,Punjab,Ludhiana,Jagraon,142035,Mallah,Vacant,100361,CHARAK ENTERPRISES,30.66328,75.40782
2,Punjab,Ludhiana,Jagraon,142030,Roomi,Vacant,100361,CHARAK ENTERPRISES,30.95279,75.47913
3,Punjab,Ludhiana,Jagraon,142033,Jandi,Vacant,100361,CHARAK ENTERPRISES,30.95279,75.47913
4,Punjab,Ludhiana,Jagraon,142026,Jagraon,Vacant,100361,CHARAK ENTERPRISES,30.79813,75.47015
5,Punjab,Ludhiana,Jagraon,142026,Jagraon City,Vacant,100361,CHARAK ENTERPRISES,30.78523,75.47321
6,Punjab,Ludhiana,Jagraon,141101,Rurka,Vacant,100361,CHARAK ENTERPRISES,30.82538,75.70907
7,Punjab,Ludhiana,Jagraon,142025,Sowaddi,Vacant,100361,CHARAK ENTERPRISES,30.81872,75.47677
8,Punjab,Ludhiana,Jagraon,142025,Majri,Vacant,100361,CHARAK ENTERPRISES,30.80243,75.46728
9,Punjab,Ludhiana,Jagraon,142023,Mann,Vacant,100361,CHARAK ENTERPRISES,30.79372,75.56956
10,Punjab,Ludhiana,Jagraon,141104,Sudhar,Vacant,100361,CHARAK ENTERPRISES,30.76598,75.6321
11,Punjab,Ludhiana,Jagraon,141110,Hambran,Vacant,100361,CHARAK ENTERPRISES,30.93604,75.67045
12,Punjab,Ludhiana,Jagraon,141110,Purain,Vacant,100361,CHARAK ENTERPRISES,30.91806,75.61765
13,Punjab,Ludhiana,Jagraon,141422,Raqba,Vacant,100361,CHARAK ENTERPRISES,30.81324,75.65099
14,Punjab,Ludhiana,Jagraon,142036,Galib Kalan,Vacant,100361,CHARAK ENTERPRISES,30.83611,75.40049
15,Punjab,Ludhiana,Jagraon,142036,Nanaksar,Vacant,100361,CHARAK ENTERPRISES,30.78389,75.45648
16,Punjab,Ludhiana,Jagraon,142031,Hathur,Vacant,100361,CHARAK ENTERPRISES,30.95279,75.47913
17,Punjab,Ludhiana,Jagraon,142031,Lakha,Vacant,100361,CHARAK ENTERPRISES,30.62085,75.44851
18,Punjab,Ludhiana,Jagraon,142034,Lamme,Vacant,100361,CHARAK ENTERPRISES,30.95279,75.47913
19,Punjab,Ludhiana,Jagraon,142034,Manuke,Vacant,100361,CHARAK ENTERPRISES,30.79088,75.4744
20,Punjab,Ludhiana,Raikot,141105,Tossey,Vacant,100361,CHARAK ENTERPRISES,30.65232,75.59752
21,Punjab,Ludhiana,Raikot,141105,Sarabha,Vacant,100361,CHARAK ENTERPRISES,30.76667,75.65137
22,Punjab,Ludhiana,Raikot,141107,Nurpur,Vacant,100361,CHARAK ENTERPRISES,30.70501,75.62325
23,Punjab,Ludhiana,Raikot,141109,Kalas,Vacant,100361,CHARAK ENTERPRISES,30.62255,75.58459
24,Punjab,Ludhiana,Raikot,141109,Raekot,Vacant,100361,CHARAK ENTERPRISES,30.65147,75.597
25,Punjab,Ludhiana,Raikot,141106,Halwara Aerodrome,Vacant,100361,CHARAK ENTERPRISES,30.72406,75.64038
26,Punjab,Ludhiana,Raikot,142032,Binjal,Vacant,100361,CHARAK ENTERPRISES,30.66409,75.53519
27,Punjab,Ludhiana,Raikot,142032,Bassian,Vacant,100361,CHARAK ENTERPRISES,30.66119,75.53718
28,Punjab,Ludhiana,Raikot,142023,Mann,Vacant,100361,CHARAK ENTERPRISES,30.79372,75.56956
29,Punjab,Ludhiana,Raikot,141104,Sudhar,Vacant,100361,CHARAK ENTERPRISES,30.77577,75.6504
30,Punjab,Ludhiana,Raikot,141205,Latala,Vacant,100361,CHARAK ENTERPRISES,30.66434,75.75719
31,Punjab,Ludhiana,Raikot,141422,Raqba,Vacant,100361,CHARAK ENTERPRISES,30.80113,75.65221
32,Punjab,Ludhiana,Raikot,142031,Hathur,Vacant,100361,CHARAK ENTERPRISES,30.60201,75.432
33,Punjab,Ludhiana,Raikot,142031,Lakha,Vacant,100361,CHARAK ENTERPRISES,30.62085,75.44851
34,Punjab,Ludhiana,Raikot,141108,Leel,Vacant,100361,CHARAK ENTERPRISES,30.65232,75.59752
35,Punjab,Ludhiana,Raikot,142034,Lamme,Vacant,100361,CHARAK ENTERPRISES,30.68552,75.52681
36,Punjab,Ludhiana,Raikot,142034,Manuke,Vacant,100361,CHARAK ENTERPRISES,30.68552,75.52681
37,Punjab,Moga,Bagha Purana,142057,Tharaj,Vacant,100361,CHARAK ENTERPRISES,30.52804,75.1221
38,Punjab,Moga,Bagha Purana,142048,Dagru,Vacant,100361,CHARAK ENTERPRISES,30.68696,75.09401
39,Punjab,Moga,Bagha Purana,142002,Charik,Vacant,100361,CHARAK ENTERPRISES,30.68696,75.09401
40,Punjab,Moga,Bagha Purana,142056,Ranian,Vacant,100361,CHARAK ENTERPRISES,30.64785,75.10549
