,PIN CODE,DISTRICT,TEHSIL,STATUS,SD CODE,SD NAME,SD_latitude,SD_longitude
0,825102,Bokaro,Bokaro,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,23.767,85.98771
1,814155,Bokaro,Maliachak,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,25.03106,87.23438
2,829201,Chatra,Bachra,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,23.85011,85.01335
3,831009,East Singhbhum,Agrico,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.79852,86.22309
4,832110,East Singhbhum,Azadnagar,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.83226,86.21173
5,831017,East Singhbhum,Baridih Colony,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.80029,86.24481
6,831019,East Singhbhum,Birsanagar,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.7885,86.25174
7,831003,East Singhbhum,Golmuri,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.78623,86.2261
8,831006,East Singhbhum,Jugsalai,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.7762,86.1857
9,831005,East Singhbhum,Kadma,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.81479,86.15602
10,822128,Garhwa,Meral,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,24.1883,83.71507
11,835203,Gumla,Bharno,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,23.23267,84.89098
12,835232,Gumla,Gomla,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.99583,84.53262
13,822131,Palamu,Harihar Ganj,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,24.54284,84.27981
14,822115,Palamu,Japla,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,24.53518,84.00121
15,822121,Palamu,Nagar Utari,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,24.35168,83.83405
16,832109,Seraikela Kharsawan,A.I .Area,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.78877,86.1477
17,832108,Seraikela Kharsawan,Gamharia,Vacant,100038,PATANJALI VANIJYA ENTERPRISES (P) L,22.82299,86.07968
