,State,District,Tehsil,Pincode,Village,Status,SD Code,SD Name,SD_latitude,SD_longitude
0,Punjab,Bathinda,Rampura Phul,151111,Lehra Bega,Vacant,125375,PITAMAH FOOD STUFF,30.2724,75.23897
1,Punjab,Bathinda,Rampura Phul,151105,Mehraj,Vacant,125375,PITAMAH FOOD STUFF,30.31158,75.19132
2,Punjab,Bathinda,Rampura Phul,151206,Maluka,Vacant,125375,PITAMAH FOOD STUFF,30.40812,75.05817
3,Punjab,Bathinda,Rampura Phul,151106,Bhai Rupa,Vacant,125375,PITAMAH FOOD STUFF,30.43271,75.21964
4,Punjab,Bathinda,Rampura Phul,151108,Jalal,Vacant,125375,PITAMAH FOOD STUFF,30.48504,75.14184
5,Punjab,Bathinda,Rampura Phul,151108,Salabatpura,Vacant,125375,PITAMAH FOOD STUFF,30.46867,75.23412
6,Punjab,Bathinda,Rampura Phul,151104,Phul,Vacant,125375,PITAMAH FOOD STUFF,30.34138,75.23417
7,Punjab,Bathinda,Rampura Phul,151101,Sema,Vacant,125375,PITAMAH FOOD STUFF,30.2724,75.23897
8,Punjab,Bathinda,Rampura Phul,151509,Peer Kot,Vacant,125375,PITAMAH FOOD STUFF,30.13735,75.32439
9,Punjab,Bathinda,Rampura Phul,151103,Dikh,Vacant,125375,PITAMAH FOOD STUFF,30.15246,75.27129
10,Punjab,Bathinda,Talwandi Sabo,151302,Singo,Vacant,125375,PITAMAH FOOD STUFF,29.87786,75.17914
11,Punjab,Bathinda,Talwandi Sabo,151401,Sangat,Vacant,125375,PITAMAH FOOD STUFF,29.98942,75.08726
12,Punjab,Bathinda,Talwandi Sabo,151401,Bandi,Vacant,125375,PITAMAH FOOD STUFF,29.99029,74.76644
13,Punjab,Bathinda,Talwandi Sabo,151301,Raman,Vacant,125375,PITAMAH FOOD STUFF,29.95427,74.97079
14,Punjab,Bathinda,Talwandi Sabo,151301,Sekhu,Vacant,125375,PITAMAH FOOD STUFF,29.96183,74.90457
15,Punjab,Bathinda,Talwandi Sabo,151101,Sema,Vacant,125375,PITAMAH FOOD STUFF,30.06588,75.23308
16,Punjab,Bathinda,Talwandi Sabo,151509,Peer Kot,Vacant,125375,PITAMAH FOOD STUFF,30.06605,75.23456
17,Punjab,Bathinda,Talwandi Sabo,151103,Dikh,Vacant,125375,PITAMAH FOOD STUFF,30.12784,75.26187
18,Punjab,Faridkot,Faridkot,151203,Faridkot,Vacant,125375,PITAMAH FOOD STUFF,30.6721,74.7529
19,Punjab,Faridkot,Jaitu,151202,Jaitu,Vacant,125375,PITAMAH FOOD STUFF,30.42403,74.9285
20,Punjab,Firozpur,Firozpur,142052,Shakur,Vacant,125375,PITAMAH FOOD STUFF,30.97534,74.57876
21,Punjab,Firozpur,Firozpur,142060,Mudki,Vacant,125375,PITAMAH FOOD STUFF,30.76935,74.89809
22,Punjab,Firozpur,Firozpur,142060,Gill,Vacant,125375,PITAMAH FOOD STUFF,30.74863,74.89326
23,Punjab,Firozpur,Firozpur,152002,Mehma,Vacant,125375,PITAMAH FOOD STUFF,30.93943,74.62346
24,Punjab,Firozpur,Firozpur,152005,Bharana,Vacant,125375,PITAMAH FOOD STUFF,30.92948,74.61748
25,Punjab,Firozpur,Firozpur,152023,Mamdot,Vacant,125375,PITAMAH FOOD STUFF,30.92948,74.61748
26,Punjab,Firozpur,Firozpur,152023,Karma,Vacant,125375,PITAMAH FOOD STUFF,30.85403,74.51836
27,Punjab,Firozpur,Firozpur,142050,Lalle,Vacant,125375,PITAMAH FOOD STUFF,30.84621,74.89403
28,Punjab,Firozpur,Firozpur,152004,Toot,Vacant,125375,PITAMAH FOOD STUFF,30.92948,74.61748
29,Punjab,Firozpur,Firozpur,152021,Arif Ke,Vacant,125375,PITAMAH FOOD STUFF,30.92948,74.61748
30,Punjab,Firozpur,Firozpur,152021,Mallanwala,Vacant,125375,PITAMAH FOOD STUFF,31.04878,74.81147
31,Punjab,Firozpur,Firozpur,152003,Fatttuwala,Vacant,125375,PITAMAH FOOD STUFF,30.88855,74.58746
32,Punjab,Firozpur,Firozpur,152001,Ferozepur,Vacant,125375,PITAMAH FOOD STUFF,30.92948,74.61748
33,Punjab,Firozpur,Firozpur,152001,Sadar Bazar (Firozpur),Vacant,125375,PITAMAH FOOD STUFF,30.92468,74.62176
34,Punjab,Firozpur,Jalalabad,152033,Khuranj,Vacant,125375,PITAMAH FOOD STUFF,30.459,74.28871
35,Punjab,Firozpur,Jalalabad,152024,Ghubaya,Vacant,125375,PITAMAH FOOD STUFF,30.54165,74.17701
36,Punjab,Firozpur,Jalalabad,152022,Pindi,Vacant,125375,PITAMAH FOOD STUFF,30.47138,74.49893
